Title,Body
Профили анализа,"Сохранять сценарии в profiles/<name>.json и добавлять команды profiles save/run. Результат: пользователь повторяет анализ одной командой."
Несколько фильтров,"Поддержать множественные --filter с операторами =, !=, >, < и последовательную фильтрацию. Результат: сложные условия выполняются без постобработки."
Расширенная статистика,"Добавить медиану и стандартное отклонение в ColumnStats и отчёты. Результат: summary и stats содержат дополнительные показатели."
Статистика текстовых столбцов,"Подсчитывать топ-5 значений и количество уникальных записей для строковых колонок. Результат: отчёты показывают распределение текстовых данных."
Поиск дубликатов,"Реализовать аргумент --duplicates и отчёт reports/duplicates.txt с повторяющимися записями. Результат: выявлены дубликаты по выбранным столбцам."
Сравнение датасетов,"Добавить режим --compare file2.csv --key column для поиска отличий и отчёт reports/compare.txt. Результат: видно различия между файлами."
История запусков,"Вести logs/history.txt с командами и временем запуска, добавить вывод через --history. Результат: пользователь просматривает последние операции."
Экспорт отчётов CSV и Markdown,"Добавить методы ReportWriter.save_summary_csv/md и аргументы --export-csv/--export-md. Результат: статистика доступна в альтернативных форматах."
Проверка качества данных,"Использовать config/quality_rules.json для поиска пустых, слишком длинных и отрицательных значений. Результат: формируется отчёт reports/quality.txt."
Группировка и агрегаты,"Реализовать --group-by column --metric sum|min|max|avg и отчёт reports/grouped.txt. Результат: утилита создаёт сводные таблицы."
Профайлинг дат,"Определять столбцы с датами, считать диапазон и уникальные дни, сохранять reports/dates.txt. Результат: пользователь видит покрытие дат."
Пустые столбцы,"Автоматически собирать список колонок только из пропусков и сохранять reports/empty_columns.txt. Результат: отчёт с рекомендациями по очистке."
Предпросмотр фильтра,"Показывать первые 10 строк и общее количество результатов после фильтрации. Результат: пользователь сразу оценивает эффект фильтра."
Интерактивный мастер,"Расширить текстовый режим пошаговым мастером с повторным запуском и сохранением параметров. Результат: анализ выполняется через дружелюбный интерфейс."
Локализация,"Вынести сообщения в модуль localization и добавить аргумент --lang для переключения языка. Результат: CLI поддерживает несколько языков."
